pv,wind,hydro,demand_el,demand_heat,demand_cooking,biomass_usage,fuel_oil_usage
0.0,0.326,0.63,9.85634425941043e-05,0.0001218081606436,0.0001218081606436,1,1
0.0,0.367,0.63,9.06896786950765e-05,0.0001252889766387,0.0001252889766387,1,1
0.0,0.401,0.63,8.32043220156459e-05,0.0001249039213202,0.0001249039213202,1,1
0.0,0.419,0.63,7.93168427388001e-05,0.0001397006844787,0.0001397006844787,1,1
0.184,0.337,0.63,7.59949388869818e-05,0.0001648653927025,0.0001648653927025,1,1
0.42,0.283,0.64,7.16372824495709e-05,0.0002242632216975,0.0002242632216975,1,1
0.591,0.3,0.64,7.90647187541493e-05,0.0002335397588583,0.0002335397588583,1,1
0.704,0.169,0.64,8.52587917824628e-05,0.0002291768855772,0.0002291768855772,1,1
0.768,0.062,0.64,9.26555643591782e-05,0.0002254803221721,0.0002254803221721,1,1
0.788,0.015,0.64,9.80898583526656e-05,0.0002124795647321,0.0002124795647321,1,1
0.771,0.002,0.64,0.000101013133742266,0.0002025641187724,0.0002025641187724,1,1
0.718,0.0,0.65,0.000101830833151944,0.0001979973039235,0.0001979973039235,1,1
0.626,0.0,0.65,0.000107472959078725,0.0001936835636667,0.0001936835636667,1,1
0.485,0.0,0.65,0.000102393001496098,0.000186848483583,0.000186848483583,1,1
0.29,0.0,0.65,0.000102280567827267,0.0001878398835582,0.0001878398835582,1,1
0.038,0.0,0.66,9.62193709530264e-05,0.0001919032590757,0.0001919032590757,1,1
0.0,0.005,0.66,9.54970698078105e-05,0.0002000251867295,0.0002000251867295,1,1
0.0,0.014,0.66,9.7704858213942e-05,0.000205567784313,0.000205567784313,1,1
0.0,0.019,0.67,0.000101950080982522,0.0002082200708776,0.0002082200708776,1,1
0.0,0.012,0.67,0.000125581593922227,0.0002103758003547,0.0002103758003547,1,1
0.0,0.002,0.67,0.000133830136717357,0.0002011175007243,0.0002011175007243,1,1
0.0,0.038,0.68,0.000130055091109342,0.0001925444818375,0.0001925444818375,1,1
0.0,0.14,0.68,0.000118079201838428,0.0001548614861162,0.0001548614861162,1,1
0.0,0.251,0.68,0.00010036578837627,0.0001331939551197,0.0001331939551197,1,1
0.0,0.345,0.68,8.69929959471556e-05,0.000127964983253,0.000127964983253,1,1
0.0,0.413,0.69,7.99062677299433e-05,0.0001332550512293,0.0001332550512293,1,1
0.0,0.447,0.69,7.46491419418862e-05,0.0001368342421161,0.0001368342421161,1,1
0.0,0.459,0.7,7.37224159442507e-05,0.0001445449252784,0.0001445449252784,1,1
0.229,0.37,0.7,7.25708226089537e-05,0.0001691478084057,0.0001691478084057,1,1
0.447,0.22,0.7,7.4100601921227e-05,0.0002305079429179,0.0002305079429179,1,1
0.601,0.166,0.71,8.12214009471759e-05,0.0002767320122558,0.0002767320122558,1,1
0.705,0.071,0.71,9.30575999022701e-05,0.0002863563542735,0.0002863563542735,1,1
0.765,0.019,0.71,0.000107152693476601,0.0002837535658142,0.0002837535658142,1,1
0.788,0.004,0.72,0.000118665219748697,0.0002721921665821,0.0002721921665821,1,1
0.772,0.0,0.72,0.000120378981428148,0.0002598061148401,0.0002598061148401,1,1
0.719,0.0,0.72,0.000120368760185527,0.0002487251177961,0.0002487251177961,1,1
0.619,0.0,0.73,0.000122160884725072,0.0002399478366278,0.0002399478366278,1,1
0.473,0.0,0.73,0.000118668626829571,0.0002338684951278,0.0002338684951278,1,1
0.232,0.0,0.73,0.000115305838007269,0.0002344921199487,0.0002344921199487,1,1
0.024,0.003,0.74,0.000115196811419311,0.0002373787930084,0.0002373787930084,1,1
0.0,0.035,0.74,0.000118607299373845,0.0002441105781976,0.0002441105781976,1,1
0.0,0.05,0.75,0.000116065617042095,0.0002492398405926,0.0002492398405926,1,1
0.0,0.038,0.75,0.000117142254598171,0.0002488858389078,0.0002488858389078,1,1
0.0,0.017,0.75,0.000140167307142364,0.0002378845252609,0.0002378845252609,1,1
0.0,0.003,0.76,0.000148627088951661,0.0002214622804222,0.0002214622804222,1,1
0.0,0.008,0.76,0.000140753325052634,0.0002003431039526,0.0002003431039526,1,1
0.0,0.094,0.76,0.000128559382605805,0.0001661686573114,0.0001661686573114,1,1
0.0,0.227,0.77,0.000112317828081069,0.0001386268348887,0.0001386268348887,1,1
0.0,0.331,0.77,9.89893277033118e-05,0.0001271622825558,0.0001271622825558,1,1
0.0,0.374,0.77,9.28327325646085e-05,0.0001324221942302,0.0001324221942302,1,1
0.0,0.376,0.78,8.74836155929626e-05,0.0001359696272178,0.0001359696272178,1,1
0.0,0.367,0.78,8.37085699849476e-05,0.000143658184773,0.000143658184773,1,1
0.216,0.301,0.79,8.38857381903779e-05,0.0001681735185717,0.0001681735185717,1,1
0.426,0.159,0.79,8.65773320805691e-05,0.0002293347926682,0.0002293347926682,1,1
0.572,0.212,0.79,9.64783090994245e-05,0.0002751769630795,0.0002751769630795,1,1
0.677,0.245,0.8,0.000104024993234581,0.0002845302514797,0.0002845302514797,1,1
0.749,0.17,0.8,0.000114191722561582,0.0002818865729954,0.0002818865729954,1,1
0.776,0.087,0.8,0.000119193317284114,0.0002704178494438,0.0002704178494438,1,1
0.76,0.038,0.8,0.000120365353104653,0.0002581300450507,0.0002581300450507,1,1
0.702,0.018,0.81,0.000120753760324251,0.000247138360258,0.000247138360258,1,1
0.6,0.008,0.81,0.000119874733458846,0.0002384611378002,0.0002384611378002,1,1
0.4,0.004,0.81,0.000122743495554468,0.0002324684417425,0.0002324684417425,1,1
0.144,0.002,0.81,0.000120590220442315,0.0002331075838926,0.0002331075838926,1,1
0.012,0.001,0.81,0.000117564732626505,0.0002359929970097,0.0002359929970097,1,1
0.0,0.002,0.81,0.000118545971918119,0.0002427252775621,0.0002427252775621,1,1
0.0,0.006,0.81,0.000119939467995446,0.0002478621389615,0.0002478621389615,1,1
0.0,0.041,0.82,0.000127380532623519,0.0002475489633127,0.0002475489633127,1,1
0.0,0.092,0.82,0.000149642399052012,0.00023670834875,0.00023670834875,1,1
0.0,0.131,0.82,0.000155662710955769,0.0002204547207458,0.0002204547207458,1,1
0.0,0.154,0.82,0.0001506270454245,0.000199420014626,0.000199420014626,1,1
0.0,0.154,0.82,0.000135090756640611,0.0001653150752461,0.0001653150752461,1,1
0.0,0.157,0.82,0.00011320366910822,0.0001377998419415,0.0001377998419415,1,1
0.0,0.191,0.82,0.00010098928417615,0.0001282755721486,0.0001282755721486,1,1
0.0,0.211,0.82,9.52722024701489e-05,0.000133579251621,0.000133579251621,1,1
0.0,0.214,0.82,9.13710948698085e-05,0.0001371616057877,0.0001371616057877,1,1
0.0,0.194,0.82,8.89929524199939e-05,0.0001449076815056,0.0001449076815056,1,1
0.146,0.142,0.82,8.85943239577757e-05,0.000169611230149,0.000169611230149,1,1
0.36,0.133,0.82,8.97425102121991e-05,0.0002312357941003,0.0002312357941003,1,1
0.565,0.155,0.82,9.39775117381582e-05,0.0002775307402296,0.0002775307402296,1,1
0.686,0.144,0.82,0.000106352029471291,0.0002870406072558,0.0002870406072558,1,1
0.742,0.126,0.82,0.000116893537694394,0.0002843920165154,0.0002843920165154,1,1
0.707,0.133,0.82,0.000128092612526114,0.0002728136312617,0.0002728136312617,1,1
0.653,0.145,0.82,0.000128453763098722,0.0002604092398404,0.0002604092398404,1,1
0.586,0.153,0.82,0.000124201726168394,0.000249313662666,0.000249313662666,1,1
0.495,0.167,0.82,0.000122631061885637,0.0002405431038618,0.0002405431038618,1,1
0.373,0.155,0.82,0.000125135266327777,0.0002344799559434,0.0002344799559434,1,1
0.18,0.123,0.82,0.000126722966014903,0.000235118305493,0.000235118305493,1,1
0.019,0.132,0.82,0.000125973408222697,0.0002380239593864,0.0002380239593864,1,1
0.0,0.159,0.82,0.000123165973582802,0.0002447999460635,0.0002447999460635,1,1
0.0,0.156,0.82,0.000125295399128839,0.0002499674941504,0.0002499674941504,1,1
0.0,0.148,0.82,0.000126923983786448,0.0002496366268672,0.0002496366268672,1,1
0.0,0.162,0.82,0.000149042752818248,0.000238667110917,0.000238667110917,1,1
0.0,0.193,0.82,0.000154821161979975,0.000222245481808,0.000222245481808,1,1
0.0,0.211,0.82,0.000148868991693691,0.0002010423913667,0.0002010423913667,1,1
0.0,0.201,0.82,0.0001365796509824,0.0001666838888724,0.0001666838888724,1,1
0.0,0.18,0.82,0.000117166104164287,0.0001389868537665,0.0001389868537665,1,1
0.0,0.159,0.82,0.000102185169562805,0.0001647235361179,0.0001647235361179,1,1
0.0,0.144,0.82,9.42262286419354e-05,0.0001677831473965,0.0001677831473965,1,1
0.0,0.131,0.82,9.04068909825628e-05,0.0001707968215493,0.0001707968215493,1,1
0.0,0.095,0.82,9.00832182995651e-05,0.0001798879416315,0.0001798879416315,1,1
0.126,0.066,0.82,8.84546336419557e-05,0.0002034898952728,0.0002034898952728,1,1
0.326,0.176,0.82,9.14051656785451e-05,0.000269003582506,0.000269003582506,1,1
0.502,0.251,0.82,9.71801677593984e-05,0.0003230565929998,0.0003230565929998,1,1
0.638,0.241,0.82,0.000104931276746974,0.0003300759315542,0.0003300759315542,1,1
0.73,0.178,0.82,0.00011573513019735,0.0003307977556996,0.0003307977556996,1,1
0.734,0.111,0.82,0.000125639514297079,0.0003238296430518,0.0003238296430518,1,1
0.656,0.064,0.82,0.000124395929778193,0.0003119542930483,0.0003119542930483,1,1
0.569,0.034,0.82,0.000126688895206166,0.0003026302297455,0.0003026302297455,1,1
0.509,0.017,0.82,0.000122964955811256,0.0002922299972491,0.0002922299972491,1,1
0.42,0.011,0.82,0.000119755485628268,0.0002802251479094,0.0002802251479094,1,1
0.259,0.014,0.82,0.000117912254875618,0.0002844066241097,0.0002844066241097,1,1
0.034,0.018,0.82,0.000117823670772903,0.0002825371209886,0.0002825371209886,1,1
0.0,0.028,0.82,0.00011639610388684,0.0002855470637093,0.0002855470637093,1,1
0.0,0.084,0.82,0.000109885172337276,0.0002887005087898,0.0002887005087898,1,1
0.0,0.187,0.82,0.000114992386566892,0.0002844991150958,0.0002844991150958,1,1
0.0,0.29,0.82,0.000141087218978252,0.0002705451553448,0.0002705451553448,1,1
0.0,0.331,0.82,0.000152422577044918,0.0002515304167296,0.0002515304167296,1,1
0.0,0.336,0.82,0.000149008682009511,0.0002298185273023,0.0002298185273023,1,1
0.0,0.333,0.82,0.000134031154488903,0.0001995083446828,0.0001995083446828,1,1
0.0,0.376,0.82,0.000116045174556853,0.0001716859667385,0.0001716859667385,1,1
0.0,0.436,0.82,0.000101919417254659,0.0001961003156225,0.0001961003156225,1,1
0.0,0.465,0.82,9.32143256224584e-05,0.0001980736606253,0.0001980736606253,1,1
0.0,0.509,0.82,9.04102980634364e-05,0.0002010613142017,0.0002010613142017,1,1
0.0,0.533,0.82,8.82399875469151e-05,0.0002222265050189,0.0002222265050189,1,1
0.182,0.502,0.82,8.81582176059473e-05,0.0002509262997671,0.0002509262997671,1,1
