,"(('battery', 'electricity'), 'flow')","(('electricity', 'battery'), 'flow')","(('electricity', 'electric cookers'), 'flow')","(('electricity', 'electric transport vehicles'), 'flow')","(('electricity', 'electricity demand'), 'flow')","(('electricity', 'electrolyzer'), 'flow')","(('electricity', 'excess_electricity'), 'flow')","(('fuel_cell', 'electricity'), 'flow')","(('geothermal', 'electricity'), 'flow')","(('hydro', 'electricity'), 'flow')","(('pp_bagasse', 'electricity'), 'flow')","(('pp_fuel_oil', 'electricity'), 'flow')","(('pp_nuclear', 'electricity'), 'flow')","(('pp_peat', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')","(('wind', 'electricity'), 'flow')","(('biogas heating', 'heat_bus'), 'flow')","(('heat_bus', 'heat demand'), 'flow')","(('industrial boiler', 'heat_bus'), 'flow')","(('pp_bagasse', 'heat_bus'), 'flow')","(('wood boiler', 'heat_bus'), 'flow')","(('LPG stoves', 'cooking_bus'), 'flow')","(('biogas stoves', 'cooking_bus'), 'flow')","(('cooking_bus', 'cooking demand'), 'flow')","(('electric cookers', 'cooking_bus'), 'flow')","(('ethanol stoves', 'cooking_bus'), 'flow')","(('improved stoves', 'cooking_bus'), 'flow')","(('unimproved stoves', 'cooking_bus'), 'flow')","(('combustion engine transport vehicles', 'transport_bus'), 'flow')","(('electric transport vehicles', 'transport_bus'), 'flow')","(('hydrogen vehicles', 'transport_bus'), 'flow')","(('transport_bus', 'transport demand'), 'flow')","(('aviation_bus', 'aviation demand'), 'flow')","(('hydrogen aviation', 'aviation_bus'), 'flow')","(('kerosene aviation', 'aviation_bus'), 'flow')"
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,411.44444477359997,0.0,393.85556,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1187.0,0.0,0.0,1187.0,45.81,0.0,45.81
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,270.42222,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1127.65,0.0,0.0,1127.6499999999999,45.81,0.0,45.81
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,270.42222,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,652.85,0.0,0.0,652.85,45.81,0.0,45.81
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,270.42222,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,-4.2450641e-13,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,296.75,0.0,0.0,296.75,45.81,0.0,45.81
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,281.46222,0.0,0.0,674.1,39.2,92.0,0.0,0.0,11.04,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,225.53,0.0,0.0,225.53,45.81,0.0,45.81
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,493.7333335802,0.0,347.46667,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,25.2,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,178.05,0.0,0.0,178.04999999999998,45.81,0.0,45.81
2021-01-01 06:00:00,0.0,0.0,275.43778,0.0,576.0222223868001,0.0,0.0,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,35.46,0.0,-0.0,1217.0,-0.0,39.2,1177.8,499.0,0.0,20943.0,220.35022,0.0,5374.0,14849.65,166.18,0.0,0.0,166.18,45.81,0.0,45.81
2021-01-01 07:00:00,0.0,0.0,312.7,0.0,205.72222238679998,0.0,339.81778,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,42.24,0.0,-1.9300582e-12,1217.0,2.1005644e-12,39.2,1177.8,499.0,0.0,10471.5,250.16,0.0,5374.0,4348.34,83.09,0.0,0.0,83.09,45.81,0.0,45.81
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,82.2888888066,0.0,779.79111,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,46.08,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,225.53,0.0,0.0,225.53,45.81,0.0,45.81
2021-01-01 09:00:00,0.0,0.0,312.7,0.0,102.86111119339999,0.0,447.71889,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,47.28,0.0,-0.0,1217.0,-0.0,39.2,1177.8,0.0,0.0,523.575,250.16,0.0,273.415,0.0,320.49,0.0,0.0,320.49,45.81,0.0,45.81
2021-01-01 10:00:00,0.0,0.0,0.0,0.0,205.72222238679998,0.0,656.53778,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,46.26,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,379.84,0.0,0.0,379.84000000000003,45.81,0.0,45.81
2021-01-01 11:00:00,0.0,0.0,0.0,0.0,246.86666641980003,0.0,622.91333,0.0,0.0,695.5,39.2,92.0,0.0,0.0,43.08,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,403.58,0.0,0.0,403.58000000000004,45.81,0.0,45.81
2021-01-01 12:00:00,0.0,0.0,0.0,0.0,205.72222238679998,0.0,658.53778,0.0,0.0,695.5,39.2,92.0,0.0,0.0,37.56,0.0,-0.0,1217.0,-0.0,39.2,1177.8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,344.23,0.0,0.0,344.22999999999996,45.81,0.0,45.81
2021-01-01 13:00:00,0.0,0.0,312.7,0.0,102.86111119339999,0.0,440.23889,0.0,0.0,695.5,39.2,92.0,0.0,0.0,29.1,0.0,-0.0,1217.0,-0.0,39.2,1177.8,0.0,0.0,523.575,250.16,0.0,273.415,0.0,415.45,0.0,0.0,415.45,45.81,0.0,45.81
2021-01-01 14:00:00,0.0,0.0,312.7,0.0,82.2888888066,0.0,449.11111,0.0,0.0,695.5,39.2,92.0,0.0,0.0,17.4,0.0,-0.0,1217.0,-0.0,39.2,1177.8,0.0,0.0,523.575,250.16,0.0,273.415,0.0,415.45,0.0,0.0,415.45,45.81,0.0,45.81
