timestep;pv;wind;hydro;demand_el;demand_heat;oil_pp;biomass_pp
1;0;326;0.63;9.85634425941043E-05;0.00012180816064369767;1;1
2;0;367;0.63;9.06896786950765E-05;0.00012528897663876805;1;1
3;0;401;0.63;8.32043220156459E-05;0.00012490392132028812;1;1
4;0;419;0.63;7.93168427388001E-05;0.00013970068447875656;1;1
5;184;337;0.63;7.59949388869818E-05;0.0001648653927025829;1;1
6;0.42;283;0.64;7.16372824495709E-05;0.00022426322169750933;1;1
7;591;0;0.64;7.90647187541493E-05;0.00023353975885831882;1;1
8;704;169;0.64;8.52587917824628E-05;0.000229176885577298;1;1
9;768;62;0.64;9.26555643591782E-05;0.00022548032217217448;1;1
10;788;15;0.64;9.80898583526656E-05;0.00021247956473219353;1;1
11;771;2;0.64;1.01013133742266E-04;0.000202564118772445;1;1
12;718;0;0.65;1.01830833151944E-04;0.00019799730392359972;1;1
13;626;0;0.65;1.07472959078725E-04;0.0001936835636667132;1;1
14;485;0;0.65;1.02393001496098E-04;0.00018684848358308667;1;1
15;0.29;0;0.65;1.02280567827267E-04;0.0001878398835582058;1;1
16;38;0;0.66;9.62193709530264E-05;0.00019190325907574257;1;1
17;0;5;0.66;9.54970698078105E-05;0.00020002518672959373;1;1
18;0;14;0.66;9.77048582139420E-05;0.0002055677843130709;1;1
19;0;19;0.67;1.01950080982522E-04;0.0002082200708776108;1;1
20;0;12;0.67;1.25581593922227E-04;0.0002103758003547179;1;1
21;0;2;0.67;1.33830136717357E-04;0.00020111750072431851;1;1
22;0;38;0.68;1.30055091109342E-04;0.00019254448183755602;1;1
23;0;0;0.68;1.18079201838428E-04;0.00015486148611628054;1;1
24;0;251;0.68;1.00365788376270E-04;0.0001331939551197858;1;1
25;0;345;0.68;8.69929959471556E-05;0.00012796498325303517;1;1
26;0;413;0.69;7.99062677299433E-05;0.00013325505122931073;1;1
27;0;447;0.69;7.46491419418862E-05;0.00013683424211611268;1;1
28;0;459;0.70;7.37224159442507E-05;0.0001445449252784504;1;1
29;229;0;0.70;7.25708226089537E-05;0.00016914780840573582;1;1
30;447;0;0.70;7.41006019212270E-05;0.0002305079429179893;1;1
31;601;166;0.71;8.12214009471759E-05;0.00027673201225581314;1;1
32;705;71;0.71;9.30575999022701E-05;0.00028635635427354077;1;1
33;765;19;0.71;1.07152693476601E-04;0.00028375356581420563;1;1
34;788;4;0.72;1.18665219748697E-04;0.00027219216658218705;1;1
35;772;0;0.72;1.20378981428148E-04;0.00025980611484013926;1;1
36;719;0;0.72;1.20368760185527E-04;0.0002487251177961468;1;1
37;619;0;0.73;1.22160884725072E-04;0.00023994783662784555;1;1
38;473;0;0.73;1.18668626829571E-04;0.0002338684951278747;1;1
39;232;0;0.73;1.15305838007269E-04;0.0002344921199487998;1;1
40;24;3;0.74;1.15196811419311E-04;0.00023737879300848579;1;1
41;0;35;0.74;1.18607299373845E-04;0.00024411057819763305;1;1
42;0;;0.75;1.16065617042095E-04;0.00024923984059266476;1;1
43;0;38;0.75;1.17142254598171E-04;0.00024888583890788577;1;1
