,"(('battery', 'electricity'), 'flow')","(('electricity', 'battery'), 'flow')","(('electricity', 'electric cookers'), 'flow')","(('electricity', 'electric transport vehicles'), 'flow')","(('electricity', 'electricity demand'), 'flow')","(('electricity', 'electrolyzer'), 'flow')","(('electricity', 'excess_bel'), 'flow')","(('fuel_cell', 'electricity'), 'flow')","(('geothermal', 'electricity'), 'flow')","(('hydro', 'electricity'), 'flow')","(('pp_bagasse', 'electricity'), 'flow')","(('pp_fuel_oil', 'electricity'), 'flow')","(('pp_nuclear', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')","(('wind', 'electricity'), 'flow')","(('biogas heating', 'heat_bus'), 'flow')","(('heat_bus', 'heat demand'), 'flow')","(('industrial boiler', 'heat_bus'), 'flow')","(('pp_bagasse', 'heat_bus'), 'flow')","(('LPG stoves', 'cooking_bus'), 'flow')","(('biogas stoves', 'cooking_bus'), 'flow')","(('cooking_bus', 'cooking demand'), 'flow')","(('electric cookers', 'cooking_bus'), 'flow')","(('improved stoves', 'cooking_bus'), 'flow')","(('unimproved stoves', 'cooking_bus'), 'flow')","(('combustion engine transport vehicles', 'transport_bus'), 'flow')","(('electric transport vehicles', 'transport_bus'), 'flow')","(('hydrogen vehicles', 'transport_bus'), 'flow')","(('transport_bus', 'transport demand'), 'flow')","(('aviation', 'aviation_bus'), 'flow')","(('aviation_bus', 'aviation demand'), 'flow')"
2021-01-01 10:00:00,435.841630689998,0.0,0.0,1824.0,1157.777778704,1202.86259773697,0.0,0.0,1500.0,1920.0,254.24,1.16,0.33,46.26,26.8087457509693,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.8,0.0,1276.8,0.0,0.0
2021-01-01 11:00:00,781.385929680967,0.0,0.0,1938.0,1389.333331944,1202.86259773697,0.0,0.0,1500.0,1950.0,254.24,1.16,0.33,43.08,0.0,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.6,0.0,1356.6000000000001,0.0,0.0
2021-01-01 12:00:00,270.350376440966,0.0,0.0,1653.0,1157.777778704,1202.86259773697,0.0,0.0,1500.0,1950.0,254.24,1.16,0.33,37.56,0.0,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.1,0.0,1157.1,0.0,0.0
2021-01-01 13:00:00,41.921487088969,0.0,0.0,1995.0,578.888889352,1202.86259773697,0.0,0.0,1500.0,1950.0,254.24,1.16,0.33,29.1,0.0,2435.84,2908.0,0.0,472.16,0.0,0.0,959.6750000000001,0.0,959.675,0.0,0.0,1396.5,0.0,1396.5,3.85,3.85
2021-01-01 14:00:00,0.0,62.1562916150319,0.0,1995.0,463.111110648,1202.86259773697,0.0,0.0,1500.0,1950.0,254.24,1.1599999999995,0.33,17.4,0.0,2435.84,2908.0,5.19705082992267e-13,472.16,0.0,0.0,959.6750000000001,0.0,959.675,0.0,0.0,1396.5,0.0,1396.5,3.85,3.85
2021-01-01 15:00:00,0.0,189.258512911032,0.0,1767.0,578.888889352,1202.86259773697,0.0,0.0,1500.0,1980.0,254.24,1.15999999999978,0.33,2.28,0.0,2435.84,2908.0,2.30635963430666e-13,472.16,3.19461534120177e-13,0.0,959.6750000000001,0.0,959.675,0.0,0.0,1236.9,0.0,1236.9,3.85,3.85
2021-01-01 16:00:00,0.0,882.778155992456,0.0,1254.0,463.111110648,1202.86259773697,0.0,0.0,1500.0,1980.0,254.24,1.16,0.33,0.0,67.0218643774233,2435.84,2908.0,-9.11939102829022e-28,472.16,1.3845214549358e-12,0.0,959.6750000000001,0.0,959.674999999999,0.0,0.0,877.8,0.0,877.8,3.85,3.85
2021-01-01 17:00:00,0.0,565.250843815817,0.0,997.5,1157.777778704,1202.86259773697,0.0,0.0,1500.0,1980.0,254.24,1.15999999999939,0.33,0.0,187.661220256785,2435.84,2908.0,6.34678059564538e-13,472.16,0.0,0.0,19193.5,0.0,19193.5,0.0,0.0,698.25,0.0,698.25,77.0,77.0
2021-01-01 18:00:00,0.0,0.0,0.0,778.63530593021,3241.777778704,0.0,0.0,0.0,1500.0,2010.0,254.24,1.16,0.33,0.0,254.683084634209,2435.84,2908.0,0.0,472.16,5029.825,0.0,17274.15,0.0,12244.325,0.0,0.0,545.044714151147,153.205285848853,698.25,69.3,69.3
2021-01-01 19:00:00,0.0,0.0,0.0,916.360253209817,3010.222221296,0.0,0.0,0.0,1500.0,2010.0,254.24,1.16,0.33,0.0,160.852474505816,2435.84,2908.0,0.0,472.160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.452177246872,475.747822753128,1117.2,0.0,0.0
2021-01-01 20:00:00,3134.15864229707,0.0,0.0,3569.14183064004,3357.555557408,0.0,0.0,0.0,1500.0,2010.0,254.24,1.16,0.33,0.0,26.8087457509693,2435.84,2908.0,0.0,472.16,0.0,0.0,959.6750000000001,0.0,959.675,0.0,0.0,2498.39928144803,693.600718551975,3192.0,3.85,3.85
2021-01-01 21:00:00,2904.82344007562,0.0,0.0,3968.14183064004,3241.777778704,0.0,0.0,0.0,1500.0,2040.0,254.24,1.16,0.33,0.0,509.366169268417,2435.84,2908.0,0.0,472.16,0.0,0.0,1919.3500000000001,0.0,1919.35,0.0,0.0,2777.69928144803,693.600718551975,3471.3,7.7,7.7
2021-01-01 22:00:00,2574.24407066418,0.0,0.0,4310.14183064004,3936.444442592,0.0,0.0,0.0,1500.0,2040.0,254.24,1.16,0.33,0.0,1876.61220256785,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.09928144803,693.600718551975,3710.7000000000003,0.0,0.0
2021-01-01 23:00:00,1716.91423889338,0.0,0.0,4709.14183064004,4168.0,0.0,0.0,0.0,1500.0,2040.0,254.24,1.16,0.33,0.0,3364.49759174665,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3296.39928144803,693.600718551975,3990.0,0.0,0.0
2021-01-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
