,"(('battery', 'electricity'), 'flow')","(('electricity', 'battery'), 'flow')","(('electricity', 'electric cookers'), 'flow')","(('electricity', 'electric transport vehicles'), 'flow')","(('electricity', 'electricity demand'), 'flow')","(('electricity', 'electrolyzer'), 'flow')","(('electricity', 'excess_bel'), 'flow')","(('fuel_cell', 'electricity'), 'flow')","(('geothermal', 'electricity'), 'flow')","(('hydro', 'electricity'), 'flow')","(('pp_bagasse', 'electricity'), 'flow')","(('pp_fuel_oil', 'electricity'), 'flow')","(('pp_nuclear', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')","(('wind', 'electricity'), 'flow')","(('biogas heating', 'heat_bus'), 'flow')","(('heat_bus', 'heat demand'), 'flow')","(('industrial boiler', 'heat_bus'), 'flow')","(('pp_bagasse', 'heat_bus'), 'flow')","(('LPG stoves', 'cooking_bus'), 'flow')","(('biogas stoves', 'cooking_bus'), 'flow')","(('cooking_bus', 'cooking demand'), 'flow')","(('electric cookers', 'cooking_bus'), 'flow')","(('improved stoves', 'cooking_bus'), 'flow')","(('unimproved stoves', 'cooking_bus'), 'flow')","(('combustion engine transport vehicles', 'transport_bus'), 'flow')","(('electric transport vehicles', 'transport_bus'), 'flow')","(('hydrogen vehicles', 'transport_bus'), 'flow')","(('transport_bus', 'transport demand'), 'flow')","(('aviation', 'aviation_bus'), 'flow')","(('aviation_bus', 'aviation demand'), 'flow')"
2021-01-01 00:00:00,0.0,0.0,0.0,5700.0,2315.555557408,0.0,0.0,0.0,1500.0,1890.0,254.24,1.16,0.33,0.0,4369.825557408,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,0.0,3990.0,0.0,0.0
2021-01-01 01:00:00,0.0,0.0,0.0,5415.0,3010.222221296,139.912624006873,0.0,0.0,1500.0,1890.0,254.24,1.16,0.33,0.0,4919.40484530287,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3790.5,0.0,3790.5,0.0,0.0
2021-01-01 02:00:00,0.0,1672.79870403638,0.0,3135.0,3010.222221296,1202.86259773697,0.0,0.0,1500.0,1890.0,254.24,1.16,0.33,0.0,5375.15352306935,2435.84,2908.0,0.0,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.5,0.0,2194.5,0.0,0.0
2021-01-01 03:00:00,0.0,3624.07741579511,0.0,1425.0,3010.222221296,1202.86259773697,0.0,0.0,1500.0,1890.0,254.24,1.16,0.33,0.0,5616.43223482808,2435.84,2908.0,5.12998062103431e-28,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.5,0.0,997.5,0.0,0.0
2021-01-01 04:00:00,0.0,2877.95884000536,0.0,1083.0,3010.222221296,1202.86259773697,0.0,0.0,1500.0,1890.0,254.24,1.16,0.33,11.04,4517.27365903833,2435.84,2908.0,4.55130983282069e-28,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.1,0.0,758.1,0.0,0.0
2021-01-01 05:00:00,0.0,2657.83825796919,0.0,855.0,2778.666668056,1202.86259773697,0.0,0.0,1500.0,1920.0,254.24,1.16,0.33,25.2,3793.43752376216,2435.84,2908.0,1.5939582643928e-27,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.5,0.0,598.5,0.0,0.0
2021-01-01 06:00:00,1159.79051087563,0.0,3649.65199708006,798.0,3241.777778704,1202.86259773697,0.0,0.0,1500.0,1920.0,254.24,1.16,0.33,35.46,4021.3118626454,2435.84,2908.0,0.0,472.16,12693.728402336,0.0,38387.0,2919.72159766405,22773.55,0.0,0.0,558.6,0.0,558.6,154.0,154.0
2021-01-01 07:00:00,425.98335756411,0.0,3649.65199708004,399.0,1157.777778704,1202.86259773697,0.0,0.0,1500.0,1920.0,254.24,1.16000000000045,0.33,42.24,2265.33901595691,2435.84,2908.0,-4.63001049607077e-13,472.16,12693.728402336,2.99248869560335e-28,19193.5,2919.72159766404,3580.05,0.0,0.0,279.3,0.0,279.3,77.0,77.0
2021-01-01 08:00:00,0.0,1803.90740989508,0.0,1083.0,463.111110648,1202.86259773697,0.0,0.0,1500.0,1920.0,254.24,1.15999999999972,0.33,46.08,831.071118280049,2435.84,2908.0,2.89220755998192e-13,472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.1,0.0,758.1,0.0,0.0
2021-01-01 09:00:00,0.0,603.324106043302,0.0,1539.0,578.888889352,1202.86259773697,0.0,0.0,1500.0,1920.0,254.24,1.15999999999972,0.33,47.28,201.06559313227,2435.84,2908.0,2.89038790098765e-13,472.16,0.0,0.0,959.6750000000001,0.0,959.675,0.0,0.0,1077.3,0.0,1077.3000000000002,3.85,3.85
