,"(('battery', 'electricity'), 'flow')","(('electricity', 'battery'), 'flow')","(('electricity', 'electric cookers'), 'flow')","(('electricity', 'electric transport vehicles'), 'flow')","(('electricity', 'electricity demand'), 'flow')","(('electricity', 'electrolyzer'), 'flow')","(('electricity', 'excess_electricity'), 'flow')","(('fuel_cell', 'electricity'), 'flow')","(('geothermal', 'electricity'), 'flow')","(('hydro', 'electricity'), 'flow')","(('pp_bagasse', 'electricity'), 'flow')","(('pp_fuel_oil', 'electricity'), 'flow')","(('pp_nuclear', 'electricity'), 'flow')","(('pp_peat', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')","(('wind', 'electricity'), 'flow')","(('biogas heating', 'heat_bus'), 'flow')","(('heat_bus', 'heat demand'), 'flow')","(('industrial boiler', 'heat_bus'), 'flow')","(('pp_bagasse', 'heat_bus'), 'flow')","(('wood boiler', 'heat_bus'), 'flow')","(('LPG stoves', 'cooking_bus'), 'flow')","(('biogas stoves', 'cooking_bus'), 'flow')","(('cooking_bus', 'cooking demand'), 'flow')","(('electric cookers', 'cooking_bus'), 'flow')","(('ethanol stoves', 'cooking_bus'), 'flow')","(('improved stoves', 'cooking_bus'), 'flow')","(('unimproved stoves', 'cooking_bus'), 'flow')","(('combustion engine transport vehicles', 'transport_bus'), 'flow')","(('electric transport vehicles', 'transport_bus'), 'flow')","(('hydrogen vehicles', 'transport_bus'), 'flow')","(('transport_bus', 'transport demand'), 'flow')","(('aviation_bus', 'aviation demand'), 'flow')","(('hydrogen aviation', 'aviation_bus'), 'flow')","(('kerosene aviation', 'aviation_bus'), 'flow')"
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,411.44444477359997,0.0,393.855555226401,0.0,0.0,674.1,39.2,92.0,0.0,0.0,0.0,8.95741813425352e-13,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.0,0.0,0.0,1187.0,45.81,0.0,45.81
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,270.422222386801,0.0,0.0,674.1,39.2,92.0,0.0,0.0,0.0,1.0083964586721e-12,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.65,0.0,0.0,1127.6499999999999,45.81,0.0,45.81
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,270.422222386801,0.0,0.0,674.1,39.2,92.0,0.0,0.0,0.0,1.10181738399867e-12,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.85,0.0,0.0,652.85,45.81,0.0,45.81
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,270.422222386801,0.0,0.0,674.1,39.2,92.0,0.0,0.0,0.0,1.15127552093626e-12,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.75,0.0,0.0,296.75,45.81,0.0,45.81
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,534.8777776132,0.0,281.462222386801,0.0,0.0,674.1,39.2,92.0,0.0,0.0,11.04,9.25966230442772e-13,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.53,0.0,0.0,225.53,45.81,0.0,45.81
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,493.7333335802,0.0,347.466666419801,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,25.2,7.77591819629983e-13,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.05,0.0,0.0,178.04999999999998,45.81,0.0,45.81
2021-01-01 06:00:00,0.0,0.0,275.4377776132,0.0,576.0222223868001,0.0,0.0,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,35.46,0.0,0.0,1217.0,-2.10646333028362e-13,39.2,1177.8,499.0,0.0,20943.0,220.35022209056,0.0,5374.0,14849.6497779094,166.18,0.0,0.0,166.18,45.81,0.0,45.81
2021-01-01 07:00:00,0.0,0.0,312.7,0.0,205.72222238679998,0.0,339.817777613201,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,42.24,4.64356952358541e-13,0.0,1217.0,-2.10646333028362e-13,39.2,1177.8,499.0,0.0,10471.5,250.16,0.0,5374.0,4348.34,83.09,0.0,0.0,83.09,45.81,0.0,45.81
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,82.2888888066,0.0,779.7911111934,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,46.08,1.70355805007275e-13,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.53,0.0,0.0,225.53,45.81,0.0,45.81
2021-01-01 09:00:00,0.0,0.0,312.7,0.0,102.86111119339999,0.0,447.718888806599,0.0,0.0,684.8000000000001,39.2,91.9999999999988,0.0,0.0,47.28,4.12151141146634e-14,0.0,1217.0,-2.10646333028362e-13,39.2,1177.8,0.0,0.0,523.575,250.16,0.0,273.415,0.0,320.49,0.0,0.0,320.49,45.81,0.0,45.81
2021-01-01 10:00:00,0.0,0.0,0.0,0.0,205.72222238679998,0.0,656.5377776132,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,46.26,5.49534854862179e-15,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.84,0.0,0.0,379.84000000000003,45.81,0.0,45.81
2021-01-01 11:00:00,0.0,0.0,0.0,0.0,246.86666641980003,0.0,622.9133335802,0.0,0.0,695.5,39.2,92.0,0.0,0.0,43.08,0.0,0.0,1217.0,0.0,39.2,1177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.58,0.0,0.0,403.58000000000004,45.81,0.0,45.81
