,"(('battery', 'electricity'), 'flow')","(('electricity', 'battery'), 'flow')","(('electricity', 'electric cookers'), 'flow')","(('electricity', 'electric transport vehicles'), 'flow')","(('electricity', 'electricity demand'), 'flow')","(('electricity', 'electrolyzer'), 'flow')","(('electricity', 'excess_electricity'), 'flow')","(('fuel_cell', 'electricity'), 'flow')","(('geothermal', 'electricity'), 'flow')","(('hydro', 'electricity'), 'flow')","(('pp_bagasse', 'electricity'), 'flow')","(('pp_fuel_oil', 'electricity'), 'flow')","(('pp_nuclear', 'electricity'), 'flow')","(('pp_peat', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')","(('wind', 'electricity'), 'flow')","(('biogas heating', 'heat_bus'), 'flow')","(('heat_bus', 'heat demand'), 'flow')","(('industrial boiler', 'heat_bus'), 'flow')","(('pp_bagasse', 'heat_bus'), 'flow')","(('wood boiler', 'heat_bus'), 'flow')","(('LPG stoves', 'cooking_bus'), 'flow')","(('biogas stoves', 'cooking_bus'), 'flow')","(('cooking_bus', 'cooking demand'), 'flow')","(('electric cookers', 'cooking_bus'), 'flow')","(('ethanol stoves', 'cooking_bus'), 'flow')","(('improved stoves', 'cooking_bus'), 'flow')","(('unimproved stoves', 'cooking_bus'), 'flow')","(('combustion engine transport vehicles', 'transport_bus'), 'flow')","(('electric transport vehicles', 'transport_bus'), 'flow')","(('hydrogen vehicles', 'transport_bus'), 'flow')","(('transport_bus', 'transport demand'), 'flow')","(('aviation_bus', 'aviation demand'), 'flow')","(('hydrogen aviation', 'aviation_bus'), 'flow')","(('kerosene aviation', 'aviation_bus'), 'flow')"
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,344.21111138648,0.0,461.08889,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,-6.3992687e-13,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1187.11,0.0,0.0,1187.11,45.81,0.0,45.81
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,447.47444430676,0.0,357.82556,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1127.7545,0.0,0.0,1127.7544999999998,45.81,0.0,45.81
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,447.47444430676,0.0,357.82556,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,652.9105,0.0,0.0,652.9105,45.81,0.0,45.81
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,447.47444430676,0.0,357.82556,0.0,0.0,674.1,39.2,92.0,-0.0,-0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,296.7775,0.0,0.0,296.7775,45.81,0.0,45.81
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,447.47444430676,0.0,368.86556,0.0,0.0,674.1,39.2,92.0,0.0,0.0,11.04,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,225.5509,0.0,0.0,225.55089999999998,45.81,0.0,45.81
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,413.05333353986003,0.0,428.14667,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,25.2,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,178.0665,0.0,0.0,178.0665,45.81,0.0,45.81
2021-01-01 06:00:00,0.0,0.0,312.7,0.0,481.89555569324006,0.0,56.864444,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,35.46,0.0,0.0,1217.34,0.0,39.2,1178.14,499.0,0.0,21357.66,250.16,0.0,5374.0,15234.5,166.1954,0.0,0.0,166.1954,45.81,0.0,45.81
2021-01-01 07:00:00,0.0,0.0,312.7,0.0,172.10555569324,0.0,373.43444,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,42.24,0.0,0.0,1217.34,0.0,39.2,1178.14,499.0,0.0,10678.83,250.16,0.0,5374.0,4555.67,83.0977,0.0,0.0,83.0977,45.81,0.0,45.81
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,68.84222215338,0.0,793.23778,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,46.08,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,225.5509,0.0,0.0,225.55089999999998,45.81,0.0,45.81
2021-01-01 09:00:00,0.0,0.0,312.7,0.0,86.05277784662,0.0,464.52722,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,47.28,0.0,0.0,1217.34,0.0,39.2,1178.14,0.0,0.0,533.9415,250.16,0.0,283.7815,-0.0,320.5197,0.0,0.0,320.5197,45.81,0.0,45.81
2021-01-01 10:00:00,0.0,0.0,0.0,0.0,172.10555569324,0.0,690.15444,0.0,0.0,684.8000000000001,39.2,92.0,0.0,0.0,46.26,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,379.8752,0.0,0.0,379.87519999999995,45.81,0.0,45.81
2021-01-01 11:00:00,0.0,0.0,0.0,0.0,206.52666646014,0.0,663.25333,0.0,0.0,695.5,39.2,92.0,0.0,0.0,43.08,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,403.6174,0.0,0.0,403.6174,45.81,0.0,45.81
2021-01-01 12:00:00,0.0,0.0,0.0,0.0,172.10555569324,0.0,692.15444,0.0,0.0,695.5,39.2,92.0,0.0,0.0,37.56,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,344.2619,0.0,0.0,344.26189999999997,45.81,0.0,45.81
2021-01-01 13:00:00,0.0,0.0,312.7,0.0,86.05277784662,0.0,457.04722,0.0,0.0,695.5,39.2,92.0,0.0,0.0,29.1,0.0,0.0,1217.34,0.0,39.2,1178.14,0.0,0.0,533.9415,250.16,0.0,283.7815,-0.0,415.4885,0.0,0.0,415.48849999999993,45.81,0.0,45.81
2021-01-01 14:00:00,0.0,0.0,312.7,0.0,68.84222215338,0.0,462.55778,0.0,0.0,695.5,39.2,92.0,0.0,0.0,17.4,0.0,0.0,1217.34,0.0,39.2,1178.14,0.0,0.0,533.9415,250.16,0.0,283.7815,-0.0,415.4885,0.0,0.0,415.48849999999993,45.81,0.0,45.81
2021-01-01 15:00:00,0.0,0.0,312.7,0.0,86.05277784662,0.0,440.92722,0.0,0.0,706.2,39.2,92.0,0.0,0.0,2.28,0.0,0.0,1217.34,0.0,39.2,1178.14,0.0,0.0,533.9415,250.16,0.0,283.7815,-0.0,368.0041,0.0,0.0,368.0041,45.81,0.0,45.81
2021-01-01 16:00:00,0.0,0.0,312.7,0.0,68.84222215338,0.0,455.85778,0.0,0.0,706.2,39.2,92.0,0.0,0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,0.0,0.0,533.9415,250.16,0.0,283.7815,-0.0,261.1642,0.0,0.0,261.1642,45.81,0.0,45.81
2021-01-01 17:00:00,0.0,0.0,312.7,0.0,172.10555569324,0.0,352.59444,0.0,0.0,706.2,39.2,92.0,0.0,0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,499.0,0.0,10678.83,250.16,0.0,5374.0,4555.67,207.74425,0.0,0.0,207.74424999999997,45.81,0.0,45.81
2021-01-01 18:00:00,0.0,0.0,312.7,0.0,481.89555569324006,0.0,53.504444,0.0,0.0,716.9000000000001,39.2,92.0,0.0,0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,499.0,0.0,9610.947,250.16,0.0,5374.0,3487.787,207.74425,0.0,0.0,207.74424999999997,45.81,0.0,45.81
2021-01-01 19:00:00,0.0,0.0,0.0,0.0,447.47444430676,0.0,400.62556,0.0,0.0,716.9000000000001,39.2,92.0,0.0,0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,332.3908,0.0,0.0,332.3908,45.81,0.0,45.81
2021-01-01 20:00:00,0.0,0.0,312.7,0.0,499.10611138648,0.0,36.293889,0.0,0.0,716.9000000000001,39.2,92.0,0.0,0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,0.0,0.0,533.9415,250.16,0.0,283.7815,-0.0,949.688,0.0,0.0,949.688,45.81,0.0,45.81
2021-01-01 21:00:00,0.0,0.0,312.7,0.0,481.89555569324006,0.0,64.204444,0.0,0.0,727.6,39.2,92.0,0.0,0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,0.0,0.0,1067.883,250.16,0.0,817.723,-0.0,1032.7857,0.0,0.0,1032.7857,45.81,0.0,45.81
2021-01-01 22:00:00,0.0,0.0,0.0,0.0,585.15888861352,0.0,273.64111,0.0,0.0,727.6,39.2,92.0,0.0,0.0,0.0,0.0,0.0,1217.34,0.0,39.2,1178.14,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1104.0123,0.0,0.0,1104.0122999999999,45.81,0.0,45.81
