parameter,unit,existing,nominal_value,max
fuel_oil_resource,MW (or MWh),,,
biofuel_resource,MW (or MWh),,1,0
peat_resource,MW (or MWh),,,
uranium_resource,MW (or MWh),,,
tree_biomass_resource,MW (or MWh),,,
bush_resource,MW (or MWh),,,
papyrus_resource,MW (or MWh),,,
bagasse_resource,MW (or MWh),,1,726.4
vegetal_resource,MW (or MWh),,,
animal_waste,MW (or MWh),,,
human_waste,MW (or MWh),,,
lpg_resource,MW (or MWh),,,
kerosene_resource,MW (or MWh),,,
wind,MW (or MWh),,,
pv,MW (or MWh),60,,
hydro,MW (or MWh),,1070,
geothermal,MW (or MWh),,0,
pp_nuclear,MW (or MWh),,,
blender_biofuel,MW (or MWh),0,,
pp_fuel_oil,MW (or MWh),92,,
pp_peat,MW (or MWh),0,,
digester,MW (or MWh),,,
biogas_heating,MW (or MWh),,,
industrial_boiler,MW (or MWh),,,
wood_boiler,MW (or MWh),,,
pp_bagasse,MW (or MWh),,112,
electrolyzer,MW (or MWh),,0,
fuel_cell,MW (or MWh),,0,
battery_storage,MW (or MWh),,0,
hydrogen_storage,MW (or MWh),,0,
transport_el,MW (or MWh),,0,
transport_ce,MW (or MWh),,,
transport_hg,MW (or MWh),,0,
airplanes_hydrogen,MW (or MWh),,0,
airplanes_kerosene,MW (or MWh),,,
cooker_el,MW (or MWh),,250.16,
stove_unimproved,MW (or MWh),,31784,
stove_improved,MW (or MWh),,5374,
stove_lpg,MW (or MWh),,499,
stove_biogas,MW (or MWh),,211.13,
stove_ethanol,MW (or MWh),,268.71,
